OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
80747,51185020900,51,185,020900,,,,,104271918.570313,51614.5475419888
80748,51185020400,51,185,020400,,,18,4.55000019,224615641.589844,92567.6186197945
80749,51185020100,51,185,020100,,,,,124903269.804688,66611.587033829
80750,51185020500,51,185,020500,,,23,5.67000008,39193797.2109375,43973.664075691
80751,51650010311,51,650,010311,,,93,11.43000031,4544367.9375,13480.6771416296
80752,51710006901,51,710,006901,,,63,8.53999996,6749953.30859375,13401.9910259111
80753,51059470900,51,059,470900,,,38,7.23999977,7259799.765625,12366.493356665
80754,51107610504,51,107,610504,,,,,5566923.5859375,11156.089676281
80755,51199050208,51,199,050208,,,31,5.05999994,1205125.8984375,7146.07411204083
80756,51199050207,51,199,050207,,,,,2486265.125,8284.35375133872
80757,51700032132,51,700,032132,,,27,2.00999999,4136600.6484375,9046.37864038663
80758,51107611032,51,107,611032,,,,,2055481.61328125,7919.80569855973
80824,51013980100,51,013,980100,,,,,8233882.53125,18496.6885399442
80825,51710006902,51,710,006902,,,88,24.30999947,4517042.18359375,9402.87209091078
80826,51059491402,51,059,491402,,,15,5.0999999,2003172.33984375,7516.18416912273
80827,51161030900,51,161,030900,,,,,94021719.9492188,48912.1279144744
80828,51161030300,51,161,030300,,,,,125768232.734375,78768.2885987851
80829,51053980100,51,053,980100,,,,,83274663.0625,48227.7310091422
80830,51059431900,51,059,431900,,,,,2619320.53125,6977.70482140996
80831,51121020201,51,121,020201,,,,,8632507.25390625,13636.2184090931
80832,51059430400,51,059,430400,,,,,9917711.26171875,13482.1699296609
80833,51059415600,51,059,415600,,,,,6200250.01953125,15092.3428442181
80834,51013102001,51,013,102001,,,63,5.88999987,347338.4375,2532.59855533187
80907,51059491703,51,059,491703,,,66,2.97000003,2541904.82421875,7381.83162154861
80908,51059422102,51,059,422102,,,60,7.82999992,11045168.5859375,20105.3544312363
80909,51059440600,51,059,440600,,,,,5809805.453125,11159.6302370134
80910,51013101402,51,013,101402,,,,,758059.73828125,3947.21694270745
80911,51013102003,51,013,102003,,,340,17.29999924,1007725.6015625,4712.83391660994
80912,51013102301,51,013,102301,,,,,1395509.23046875,6191.26911327984
80913,51013102002,51,013,102002,,,17,3.79999995,268472.03125,2694.78190108646
80914,51183870201,51,183,870201,,,,,1020158975.47656,192343.378877817
80915,51027010200,51,027,010200,,,,,359700838.191406,151976.279749119
80916,51027010100,51,027,010100,,,12,3.42000008,371057069.058594,120647.099572833
80917,51027010700,51,027,010700,,,16,5.6500001,363751687.523438,111823.252413287
80918,51027010300,51,027,010300,,,18,7.78999996,193856971.859375,85573.0700296442
80919,51013102701,51,013,102701,,,56,4.28999996,768694.37890625,3896.10080288667
80920,51013102702,51,013,102702,,,11,3.13000011,470562.5859375,3151.84808321863
80921,51540001000,51,540,001000,,,44,4.19000006,3528133.99609375,8853.44801326507
80988,51660000207,51,660,000207,,,24,1.37,5667611.88671875,10482.0765189373
80989,51660000401,51,660,000401,,,12,1.32000005,5332041.06640625,12366.8604739006
80990,51093280107,51,093,280107,,,,,46931500.3242188,44548.3268144151
80991,51093280108,51,093,280108,,,,,32420095.5351563,28445.4230848689
80992,51177020408,51,177,020408,,,,,14012499.9453125,15122.2734002217
80993,51041100300,51,041,100300,,,14,2.66000009,8553345.44140625,14394.5184782381
80994,51041100926,51,041,100926,,,,,24814581.7304688,23951.1831235161
80995,51041100924,51,041,100924,,,,,20220587.3359375,22965.1257290871
81051,51059491404,51,059,491404,,,,,2578446.89453125,7650.84088160543
81052,51013103601,51,013,103601,,,,,1211542.65625,5275.49291242418
81053,51183870202,51,183,870202,,,,,2287995.4765625,9305.54005197209
81054,51770002700,51,770,002700,,,137,12.43999958,6535513.8515625,12894.0667545654
81055,51083930302,51,083,930302,,,,,440444528.335938,96636.3796568478
81056,51043010300,51,043,010300,,,,,190529145.34375,88798.4284568283
81057,51043010200,51,043,010200,,,,,271362348.066406,84256.6679977805
81058,51041101008,51,041,101008,,,,,10560337.2929688,14033.7249528205
81059,51041100902,51,041,100902,,,,,8157417.58203125,15618.0821321745
81060,51041100702,51,041,100702,,,11,7.19000006,43561609.5,31325.6529598301
81061,51041100506,51,041,100506,,,22,3.67000008,17875713.8789063,26049.2402917571
81062,51059452301,51,059,452301,,,60,8.80000019,907081.3828125,4349.08077057171
81063,51059432401,51,059,432401,,,,,3297565.453125,7534.24485749498
81064,51059480203,51,059,480203,,,,,622101.05859375,3503.44557914198
81065,51059482201,51,059,482201,,,15,2.17000008,1566597.65625,5566.79729095966
81066,51059471401,51,059,471401,,,,,2281479.91015625,7470.41961267143
81067,51059415401,51,059,415401,,,104,6.92000008,2638289.25,7300.21829206111
81068,51059482502,51,059,482502,,,,,2631834.88671875,6974.53208318727
81129,51177020309,51,177,020309,,,93,10.94999981,8542328.328125,13126.227932631
81130,51059422402,51,059,422402,,,,,3118361.4609375,8261.65977578863
81131,51059421002,51,059,421002,,,53,4.59000015,7338330.265625,16256.7569710299
81132,51059431801,51,059,431801,,,13,5.01999998,2472293.39453125,11426.5448439154
81133,51059481104,51,059,481104,,,72,8.22000027,557529.4921875,2972.51831390094
81134,51740212801,51,740,212801,,,153,11.28999996,3733368.14453125,7900.7111704602
81135,51059491405,51,059,491405,,,,,2823284.390625,7746.37716887229
81136,51059492500,51,059,492500,,,,,74494797.4609375,58835.7615199298
81137,51059492201,51,059,492201,,,,,52615659.171875,37928.8261556382
81138,51059440702,51,059,440702,,,,,5777564.05078125,14688.8028441191
81211,51149850301,51,149,850301,,,65,5.78999996,41087712.109375,33926.4108977608
81212,51149850302,51,149,850302,,,,,65148253.1601563,59438.8950789641
81213,51041100804,51,041,100804,,,,,8663432,13034.023357991
81214,51059420201,51,059,420201,,,,,3151820.28125,7933.11850563444
81215,51059481105,51,059,481105,,,,,5603467.28515625,10521.4660735558
81216,51059430102,51,059,430102,,,,,1727258.109375,6152.93736174201
82812,51059431602,51,059,431602,,,21,3.6099999,6493813.98046875,12706.2902463371
82813,51059480302,51,059,480302,,,,,18054542.3671875,20528.4422658711
82814,51099040301,51,099,040301,,,,,83672967.9414063,48984.6864375356
82815,51041100823,51,041,100823,,,48,6.05000019,16662390.5898438,16975.6558787622
82816,51199050203,51,199,050203,,,16,2.17000008,7326147.65234375,14707.9634990446
82817,51013103200,51,013,103200,,,,,1649591.1796875,6118.24124016136
82818,51013103300,51,013,103300,,,19,2.17000008,725172.73828125,3523.47374464865
82819,51153900804,51,153,900804,,,96,17.13999939,9263067.31640625,18973.8528707858
82820,51153900601,51,153,900601,,,,,2665277.01953125,7373.97753726818
82821,51153900503,51,153,900503,,,33,4.53000021,3100733.7578125,10624.6361713153
82822,51153900504,51,153,900504,,,66,10.56000042,3229455.88671875,7599.57730316483
82823,51650011600,51,650,011600,,,142,17.77000046,2249449.45703125,8406.89381107858
82824,51800075803,51,800,075803,,,,,82499907.7890625,47702.8492366982
82825,51083930204,51,083,930204,,,,,222946776.445313,96005.6722656254
82826,51083930601,51,083,930601,,,,,100340006.417969,55263.6891923428
82827,51083930602,51,083,930602,,,,,53359013.3007813,46952.812194165
82828,51083930203,51,083,930203,,,,,405449124.539063,99872.8043308399
82829,51107610604,51,107,610604,,,,,19408107.7109375,19718.4709239271
82830,51107611019,51,107,611019,,,,,7834354.21875,15854.9658865201
82831,51107611209,51,107,611209,,,,,6476432.6015625,19550.8830830017
82832,51107611208,51,107,611208,,,,,7117812.22265625,13851.9867962556
82833,51570830400,51,570,830400,,,53,8.88000011,3057642.71484375,10988.889788475
82834,51570830300,51,570,830300,,,18,4.03000021,4339364.4296875,11161.4414486712
82835,51760010800,51,760,010800,,,72,10.77999973,2343674.78515625,6198.61074909264
82836,51670820300,51,670,820300,,,40,4.69000006,4577291.34375,9544.04078576277
82837,51670820500,51,670,820500,,,59,7.44999981,4912763.015625,10571.9181921571
82838,51683910401,51,683,910401,,,22,2.3900001,2702084.11328125,7661.75423864642
82839,51107611002,51,107,611002,,,16,1.20000005,9513999.95703125,18385.3157736317
82840,51131930302,51,131,930302,,,,,281218579.972656,887878.015141904
82841,51131930301,51,131,930301,,,,,58358068.078125,101280.324176359
82842,51740212300,51,740,212300,,,90,8.39999962,4510438.4375,10598.8308846298
82843,51087200135,51,087,200135,,,,,4190273.2109375,9065.32034839496
82844,51087200148,51,087,200148,,,,,10320626.8945313,22100.5712078042
82845,51087200147,51,087,200147,,,,,15551235.875,20993.1121075841
82846,51087200806,51,087,200806,,,23,10.89999962,1783875.76953125,7531.68807668169
82847,51179010206,51,179,010206,,,13,3.68000007,12567218.2851563,21860.4132048965
82848,51053840102,51,053,840102,,,,,505460376.476563,112718.343598739
82849,51053840601,51,053,840601,,,,,266169236.640625,97410.2469152342
82850,51053840602,51,053,840602,,,,,320390935.410156,97085.5341358128
82851,51133020302,51,133,020302,,,,,184182038.316406,319305.788178391
82852,51133020301,51,133,020301,,,,,96171221.0078125,196715.998397307
82853,51087200149,51,087,200149,,,17,2.78999996,6001037.30859375,11644.5731903046
82854,51087200134,51,087,200134,,,,,7325155.15625,11552.1950246278
82855,51520020300,51,520,020300,,,25,4.1500001,8543430.203125,14045.6460384705
82856,51059420800,51,059,420800,,,,,4516781.48828125,11011.3940989345
82857,51153901602,51,153,901602,,,23,2.57999992,7964870.90234375,16798.2111864136
82858,51153901509,51,153,901509,,,,,103714619.933594,63912.9493459161
82859,51750010201,51,750,010201,,,54,7.38999987,13444995.234375,19711.4603333278
82860,51059482505,51,059,482505,,,,,8826507.8515625,19685.7448225151
82861,51013100800,51,013,100800,,,,,725117.93359375,5153.72838928555
82862,51013101000,51,013,101000,,,21,5.82000017,1774333.078125,6269.05301181206
82863,51153901417,51,153,901417,,,,,76928354.5234375,46973.3166421609
82864,51153901416,51,153,901416,,,,,6194836.96875,16759.5374476341
82865,51121020701,51,121,020701,,,,,9303281.609375,15219.1674474664
82866,51153901703,51,153,901703,,,,,2293345.21484375,7112.24182203068
82867,51153901704,51,153,901704,,,26,1.97000003,2946693.203125,7447.74255834599
82868,51153900803,51,153,900803,,,141,12.34000015,2236126.55078125,7175.24356468603
82869,51191010200,51,191,010200,,,,,129326521.128906,66487.2548444393
82870,51600300100,51,600,300100,,,12,1.71000004,5713943.30078125,9887.99459876337
82871,51595890200,51,595,890200,,,15,2.13000011,11694606.1015625,16863.9991047648
82872,51570830500,51,570,830500,,,20,2.80999994,5092461.13671875,10083.5345123537
82873,51710006601,51,710,006601,,,,,1253570.96484375,6004.29545553384
82874,51067020301,51,067,020301,,,,,128748047.183594,71316.9764256728
82875,51067020302,51,067,020302,,,,,133604802.148438,75132.3513275737
82876,51067020902,51,067,020902,,,,,380011989.890625,113153.401467993
82877,51041100822,51,041,100822,,,,,63974877.671875,49328.302204909
82878,51810044201,51,810,044201,,,,,7624726.52734375,11811.6213528353
82879,51700032128,51,700,032128,,,97,4.44999981,9922577.4765625,13496.3009812097
82880,51670820600,51,670,820600,,,163,13.05000019,7943932.8828125,17345.7549103048
82881,51650010701,51,650,010701,,,127,14.05000019,3322365.28125,13359.7327015524
82882,51650010702,51,650,010702,,,133,16.18000031,2774780.61328125,8131.89945203952
82883,51650010309,51,650,010309,,,21,1.82000005,3438412.484375,8797.78579188891
82884,51710000400,51,710,000400,,,18,1.45000005,1858421.48828125,26527.1329134661
82885,51710000500,51,710,000500,,,16,2.08999991,1724611.4453125,6503.06215376829
