year,program,funding_sources,project_name,project_address,type,units_affordable,units_rehab,units_psh,units_below30,units_below50,units_below60,units_below80,units_marketrate,amt_vhtf,amt_home,amt_nhtf,amt_psh,amt_hiee,amt_other,tenure
2021-2022,CLP,VHTF,Grande Oak,"6300 Old Mooretown Rd, Williamsburg, VA 23188",,49,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Grande Oak III,"6284 Old Mooretown Rd, Williamsburg, VA 23188",,49,,,,,,,,375062,,,,,,Rental
2021-2022,CLP,VHTF,Grayson Manor,"224 Nichols Dr, Independence, VA 24348",,32,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,JCOC 3H Housing,"1053 Virginia Beach Blvd, Virginia Beach, VA 23451",,38,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Legacy on Main,"100 Country Club Dr SE, Blacksburg, VA 24060",,56,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Lexington Senior Apartments,"1 Lexington Dr, Portsmouth, VA 23704 ",,106,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Lineweaver Annex Renovation,"29 W Rock St, Harrisonburg, VA 22802",,60,,,,,,,,1090000,,,,,,Rental
2021-2022,CLP,VHTF,Mecklenburg Manor,"719 E Ferrell St, South Hill, VA 23970 ",,51,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Middlebrook Trace,"914 Middlebrook Ave, Staunton, VA 24401",,82,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Mt. Sterling Senior 9%,"21394 Mount Sterling Ter, Sterling, VA 20164",,48,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Old Hundred Trace,"2140 Old Hundred Rd, Midlothian, VA 23114",,54,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,One University Family,"6552 University Dr, Fairfax, VA 22030",,120,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,One University Senior,"4512 University Dr, Fairfax, VA 22030",,120,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Parkside Apartments,"250 Gardner St, Culpeper, VA 22701",,37,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,"Richmond Family Housing 1, Fulton-Afton-Bainbridge","1201 Admiral Gravely Blvd, Richmond, VA 23231",,122,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,"Richmond Family Housing 2, Randolph-Stovall","1921 Idlewood Ave, Richmond, VA 23220 ",,82,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Saint Elizabeth Apartments,"1031 Fourqurean Ln, Richmond, VA 23222",,56,,,,,,,,800000,,,,,,Rental
2021-2022,CLP,VHTF,Saratoga Place,"401 S Saratoga St, Suffolk, VA 23434",,76,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Senior Townsquare at Dumfries,"3930 Townsquare Ct, Triangle, VA 22172 ",,40,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Southwood Apartments A,"387 Hickory St, Charlottesville, VA 22902",,70,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Southwood Apartments B,"505 Hickory St, Charlottesville, VA 22902",,51,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,The Heights at Brady Square Phase III,"2351 Krouse St, Richmond, VA 23234",,66,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,The Heights at Brady Square Phase IV,"2301 Krouse St, Richmond, VA 23234",,66,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,The Villas on Main,"1550 E Main St, Lebanon, VA 24266",,21,,,,,,,,450000,,,,,,Rental
2021-2022,CLP,VHTF,Tidewater Gardens A,"500 Fenchurch St, Norfolk, VA 23504",,128,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Townhomes at Liberty Place,"2701 E Belt Blvd, Richmond, VA 23234",,39,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Watermark Gardens,"6050 Hendry Ave, Ampthill, VA 23234",,80,,,,,,,,600925,,,,,,Rental
2021-2022,CLP,VHTF,Waxpool Apartments,"43815 Oystercatcher Ter, Ashburn, VA 20147",,52,,,,,,,,700000,,,,,,Rental
2021-2022,CLP,VHTF,Wellesley,"51 Wellesley Dr, Newport News, VA 23606 ",,40,,,,,,,,900000,,,,,,Rental
2021-2022,CLP,VHTF,Winchester Forest 4,"2701 Drewry's Bluff Rd, North Chesterfield, VA 23237",,88,,,,,,,,350000,,,,,,Rental
2022-2023,CLP,VHTF,1025-A Park Street,"1025 Park St, Charlottesville, VA 22901",,30,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,1025-B Park Street,"1023 Park St, Charlottesville, VA 22901",,36,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,2100 Bainbridge Rental,"2100 Bainbridge St, Richmond, VA 23225",,84,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,700 West 44  - 4%,"700 W 44th St, Richmond, VA 23225",,72,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,700 West 44 - 9%,"750 W 44th St, Richmond, VA 23225",,72,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,7000 Carnation,"7000 Carnation St, Richmond, VA 23225",,218,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,712 High Street,"712 High St, Petersburg, VA 23803",,12,,,,,,,,382000,,,,,,Rental
2022-2023,CLP,VHTF,Blaine Landing Phase II,"7581 Richmond Rd, Williamsburg, VA 23188",,60,,,,,,,,400000,,,,,,Rental
2022-2023,CLP,VHTF,Broad Creek Resyndication Phase 1,"1420 Merrimac Ave, Norfolk, VA 23504 ",,88,,,,,,,,700000,,,,,,Rental
